dolar amerykañski,USD,3.8329,3.9103
dolar australijski,AUD,2.9566,3.0164
dolar kanadyjski,CAD,3.0697,3.1317
euro,EUR,4.5642,4.6564
forint (Wêgry),HUF,0.012419,0.012669
frank szwajcarski,CHF,4.1273,4.2107
funt szterling,GBP,5.3209,5.4283
jen (Japonia),JPY,0.035093,0.035801
korona czeska,CZK,0.1745,0.1781
korona duñska,DKK,0.6138,0.6262
korona norweska,NOK,0.4506,0.4598
korona szwedzka,SEK,0.4503,0.4593
SDR (MFW),XDR,5.4704,5.581
